system:index,loss_label,past_loss,rainfall_anomaly,rainfall_total,spi,treecover2000,.geo
349,0,0,956.7829483404748,9648.0552354455,0.545272527121428,63,"{""type"":""Point"",""coordinates"":[93.26303347537602,26.17728171695613]}"
367,0,0,2662.8899658232003,20740.175591111183,0.7606325066855104,35,"{""type"":""Point"",""coordinates"":[74.9808820715883,13.155773775378137]}"
368,0,0,1006.4103529199601,14027.88311585784,0.34363999148878815,57,"{""type"":""Point"",""coordinates"":[92.5783210692473,22.565984137683326]}"
369,0,0,2072.887574017048,19250.2153185606,0.6633454294865547,64,"{""type"":""Point"",""coordinates"":[95.52026568816419,28.018341652042267]}"
388,0,1,1274.7684063545003,8459.7309319973,0.9663846476212532,36,"{""type"":""Point"",""coordinates"":[82.45831522703861,17.89780056004374]}"
393,0,1,1627.5354383945469,12391.438881397247,0.7787722168179585,93,"{""type"":""Point"",""coordinates"":[95.0432219628458,28.548613805536036]}"
460,0,0,-746.7960676391958,3085.3596433252096,-0.4447855602927778,42,"{""type"":""Point"",""coordinates"":[77.57940105394493,31.53330975291957]}"
465,0,0,1834.3904342597762,15064.835891276598,0.5126063315389469,43,"{""type"":""Point"",""coordinates"":[91.05144545286967,25.847684533582687]}"
472,1,0,1008.9196328878406,8582.695321559906,0.5926933469729777,84,"{""type"":""Point"",""coordinates"":[93.606316622449,25.529713462190177]}"
486,0,0,829.9972372908142,7848.811700165272,0.5962510111238438,27,"{""type"":""Point"",""coordinates"":[85.32754274931705,21.949446826837868]}"
491,0,0,824.6921429071572,6686.001333475113,0.7021231823776031,94,"{""type"":""Point"",""coordinates"":[93.10698361809355,27.699807297254445]}"
511,0,1,2190.696222465858,8790.023139417171,1.5268387001199597,33,"{""type"":""Point"",""coordinates"":[75.2804424487732,14.165732572384135]}"
518,0,1,1286.1239085773977,8489.196481823921,0.943813238705633,39,"{""type"":""Point"",""coordinates"":[82.30448300388127,17.607600260853342]}"
528,0,0,1221.5708032876255,9066.862720906734,0.6825464662645452,76,"{""type"":""Point"",""coordinates"":[94.3428004964556,24.591483391461725]}"
552,1,0,992.2619070373912,8450.526883289218,0.6643820333286449,59,"{""type"":""Point"",""coordinates"":[80.85924156784719,19.392619417112396]}"
567,0,1,1477.575834399462,11559.51551413536,0.7740660652570798,80,"{""type"":""Point"",""coordinates"":[94.61742602060441,28.02146038368795]}"
598,0,0,1692.6679975907136,16511.83514070511,0.5013105973731777,27,"{""type"":""Point"",""coordinates"":[92.49845621029633,24.646676994122686]}"
604,0,0,249.96162775587254,6726.230864226818,0.19474277972316276,49,"{""type"":""Point"",""coordinates"":[79.57981628234073,29.04735135027181]}"
609,0,1,984.6065121412284,11810.917405128479,0.49163885008893743,77,"{""type"":""Point"",""coordinates"":[94.7031922531665,26.415232720414622]}"
626,1,0,67.81742491565092,6380.498956799507,0.04958415757976535,61,"{""type"":""Point"",""coordinates"":[79.76567289609666,29.207493332459837]}"
635,0,1,1432.8665989041328,13117.749459862709,0.5124009923146947,81,"{""type"":""Point"",""coordinates"":[93.26714032473176,24.780278188429065]}"
638,0,0,1223.8162084428022,7979.372615098953,0.9055252010507646,56,"{""type"":""Point"",""coordinates"":[82.35732263051669,17.509603209247256]}"
639,0,0,3219.8555085778244,16827.150152742863,1.3353991799869436,69,"{""type"":""Point"",""coordinates"":[76.85779253485228,9.69930639144036]}"
641,0,0,532.3965063776823,4177.1236835718155,0.677961501261957,53,"{""type"":""Point"",""coordinates"":[73.87236079090185,34.4203106674743]}"
