loss_label,past_loss,rainfall_anomaly,rainfall_total,spi,treecover2000,period
0,0,2252.43347055093,16591.449162960052,0.6872751497839639,56,2001_2005
0,0,2024.039469046891,13297.390912652016,0.7216057694075508,32,2001_2005
1,0,296.286435125352,7066.661746561527,0.2417414188317308,29,2001_2005
0,0,757.9021468401916,8290.970092177391,0.6643921251620712,60,2001_2005
0,0,947.1158412824808,7822.238922793418,0.6427203483769233,47,2001_2005
0,0,1920.9070732040072,17896.297512173653,0.4967341197368549,29,2001_2005
0,0,2004.694677670492,16263.974096775057,0.6366174764529454,50,2001_2005
0,0,1107.233320310339,13068.73131465912,0.4961267084537908,93,2001_2005
0,0,860.1135205984119,7946.191592335701,0.5600362536191889,79,2001_2005
0,0,-1656.3927345733623,1247.9248844087124,-1.3334068604984015,60,2001_2005
0,0,408.6853820517763,7926.4314301759005,0.2973097242920056,62,2001_2005
0,0,2917.3727472894825,17330.79711329937,0.769133748584856,51,2001_2005
0,0,-2560.906594684749,3034.639383733273,-1.325939948601799,45,2001_2005
0,0,584.8268984506603,5004.202549934387,0.5722143006376949,56,2001_2005
0,0,1880.7257178340224,16142.628320097923,0.6034736025707168,66,2001_2005
0,0,1595.470313584805,10980.647137403488,0.7800721522071388,74,2001_2005
0,0,1563.9760515163407,9720.131045937538,0.7557362084711032,73,2001_2005
1,0,1263.436076742386,19619.52059046552,0.3626647416854692,90,2001_2005
0,0,31.98928341642022,11062.93050777912,0.0188935013717184,89,2001_2005
0,0,-771.5914969127043,14746.656656384468,-0.2268527153766103,52,2001_2005
0,0,705.8248420765567,8619.643607258797,0.4688140030365723,27,2001_2005
0,0,1434.5172857522955,11032.640251398088,0.7263533715033197,84,2001_2005
0,0,-3495.6219067856555,1954.6586837768557,-1.4079323727023274,52,2001_2005
1,0,1482.889765878208,10575.27443575859,0.7580558766741681,88,2001_2005
0,0,1099.8462200909853,13337.87275636196,0.4625617976232188,91,2001_2005
0,0,515.635963982344,10195.952389717102,0.3000830313901624,38,2001_2005
0,0,1169.0571239918463,10514.42717206478,0.5830744807333068,78,2001_2005
0,0,865.4356400875668,8735.144669890404,0.481422406089978,71,2001_2005
0,0,1451.5569380998604,11359.382527947426,0.6145177851362954,64,2001_2005
0,0,92.5892442211507,7895.031408429146,0.0818056725495899,73,2001_2005
0,0,-127.6624235004183,15488.830042004583,-0.0398930446896176,68,2001_2005
0,0,634.1219286032338,8863.199719548225,0.3527476367806444,88,2001_2005
0,0,-3782.8781715578752,1957.080133676529,-1.4314955853878668,58,2001_2005
0,0,495.83368684984816,12279.753955364227,0.2390230839424481,35,2001_2005
1,0,-209.9114456257612,6585.873932778835,-0.1586383169680521,44,2001_2005
0,0,-1582.8371363890092,3366.735011279583,-1.043357259165306,56,2001_2005
0,0,540.4047105163336,10323.076797366142,0.3040249640417701,43,2001_2005
0,0,1026.527998700738,14417.967512488363,0.4282760285107286,91,2001_2005
0,0,1498.8229054552469,14589.982833862305,0.5320490142099803,73,2001_2005
0,0,1538.4338876485826,8801.957169294357,0.934448292537302,72,2001_2005
0,0,402.4869122871187,7996.861826898414,0.2052861265335079,34,2001_2005
0,0,1262.8374205708496,10380.186132907867,0.6336750288477041,74,2001_2005
0,0,2335.920269811153,12480.1251411438,0.8174026766948976,27,2001_2005
0,0,1084.4066123669036,9248.120588302612,0.6832746814568823,66,2001_2005
1,0,1346.1577737580992,10599.635020256042,0.6915468184052386,43,2001_2005
0,0,1797.4802059265312,14562.084405899048,0.66098816892234,89,2001_2005
0,0,-453.1292649051175,8238.720003843307,-0.2446674968383788,55,2001_2005
0,0,454.7555472154163,13808.224173426628,0.1661977292599464,55,2001_2005
0,0,2163.624307483473,16828.343964219093,0.5800086280343635,78,2001_2005
0,0,938.2928804074344,8182.040451783687,0.6193161300704526,44,2001_2005
0,0,717.4933346018779,8462.093131065369,0.4743927147186172,25,2001_2005
0,0,938.6270531996051,11967.75157788396,0.4058916296384673,34,2001_2005
0,0,2569.935604042559,13683.1322568655,0.8847560308915203,54,2001_2005
0,0,1771.473074522428,14447.343813061714,0.6622916858013447,94,2001_2005
0,0,-3551.848231532673,1905.3145830631256,-1.413520494727341,60,2001_2005
1,0,1497.5315127934027,13772.957734674215,0.6121568352804525,66,2001_2005
1,0,-402.4586757348961,5351.724380142987,-0.3399532349079334,71,2001_2005
0,0,1911.512230710312,13495.2770768404,0.6415106379266751,54,2001_2005
0,0,345.0027275776484,11868.73455184698,0.1893114160500312,68,2001_2005
1,0,338.4750376716256,16478.499036073685,0.1029875018673495,54,2001_2005
1,0,-167.31304426731913,5977.144943892956,-0.1477112841215768,41,2001_2005
0,0,1230.9569457434118,10331.078048586844,0.6018080342291883,85,2001_2005
0,0,968.8316461361592,8917.801145195961,0.5234118805587606,38,2001_2005
0,0,399.39953507930113,10484.617345929146,0.219209744871739,64,2001_2005
0,0,103.48303961225338,6455.645969301462,0.1006676252245883,52,2001_2005
1,0,-348.43709044102616,9051.616234838964,-0.2075924560391533,44,2001_2005
0,0,1801.7011257721608,11253.314238071442,0.7614053042758074,87,2001_2005
0,0,363.6049817737821,8022.845625817776,0.2290980064578916,53,2001_2005
1,0,1606.9797841921973,15716.635894477367,0.5338777563337775,78,2001_2005
0,0,1013.649584810436,9180.268658638,0.6445267375823107,65,2001_2005
0,0,401.1834601880055,14705.214248120785,0.1349411087332318,66,2001_2005
0,0,616.129398688674,14383.642361044884,0.2511560704620101,78,2001_2005
0,0,1907.5873316088075,14750.776016950607,0.634803739028979,94,2001_2005
0,0,988.5865805923931,11096.761766314508,0.4774438713151957,26,2001_2005
0,0,169.0306613762241,5808.280277967453,0.1594627412786095,27,2001_2005
0,0,388.4348606738613,7132.244195401669,0.3066272888576979,31,2001_2005
1,0,1347.2711072310813,10632.50302708149,0.6165578382570746,73,2001_2005
